ticker,pub_date,headline,gemini_sentiment
AMZN,2015-10-22,daily report a trio of earnings from tech behemoths,neutral
AMZN,2015-10-19,daily report tech tussles take center stage in earnings,neutral
AMZN,2015-10-14,ennis esmer of red oaks talks tennis and comedy,neutral
AMZN,2015-10-14,walmart takes aim at cloud lockin,neutral
AMZN,2015-10-07,amazon messes with billions in corporate computing dollars,negative
AMZN,2015-10-09,amazon building a tech business for the long haul,neutral
AMZN,2015-10-07,review amazons red oaks aims for 80s affection not satire,neutral
AMZN,2015-10-20,amazon spars with the times over investigative article,neutral
AMZN,2015-10-26,a penny for your books,neutral
AMZN,2015-10-19,walmart chief defends investments in labor stores and the web,neutral
AMZN,2015-11-04,reviews amazon pilots include a revolt and the supernatural,neutral
AMZN,2015-11-03,amazon adds new perks for workers and opens a bookstore,neutral
AMZN,2015-11-18,covering your browser tracks,neutral
AMZN,2015-11-17,morning agenda the economic cost of terrorism,neutral
AMZN,2015-11-18,how amazons long game yielded a retail juggernaut,neutral
AMZN,2015-11-07,farhad and mikes week in tech airbnb takes san francisco,neutral
AMZN,2015-11-04,digital transformation going mainstream in 2016 idc predicts,neutral
AMZN,2015-11-18,a martha stewart store makes a leap to amazon,neutral
AMZN,2015-11-28,black friday shopping shifts online as stores see less foot traffic,neutral
AMZN,2015-11-19,red reich and blue building the world of the man in the high castle,neutral
AMZN,2015-07-13,accusing amazon of antitrust violations authors and booksellers demand inquiry,neutral
AMZN,2015-07-24,daily report amazon shows profit for a change,neutral
AMZN,2015-07-31,daily report that facebook drone is ready for takeoff,neutral
AMZN,2015-07-30,jeremy clarkson former top gear host announces deal with amazon,neutral
AMZN,2015-07-13,the authors united position paper on amazons book selling practices,neutral
AMZN,2015-07-13,documents authors and booksellers call for amazon inquiry,negative
AMZN,2015-07-13,american booksellers letter to the justice department,neutral
AMZN,2015-07-13,authors guilds call to investigate amazon,neutral
AMZN,2015-06-11,amazons ebooks business investigated by european antitrust regulators,neutral
AMZN,2015-06-23,retailers ban sale of merchandise bearing confederate flag,neutral
AMZN,2015-07-08,amazon gears up for new york fashion week for men,neutral
AMZN,2015-07-15,more fizzle than sizzle on amazons prime day,neutral
AMZN,2015-07-24,limited too 2 project runways record and rip elio fiorucci,neutral
AMZN,2015-07-07,gunshaped iphone case is a terrible idea police officials warn,negative
AMZN,2015-07-15,amazon dreams up a sale in a calendar bursting with them,neutral
AMZN,2015-07-14,daily report writers and booksellers seek us antitrust inquiry into amazon,negative
AMZN,2015-07-15,amazon lands spike lees chiraq as its first original movie,neutral
AMZN,2015-07-17,amazon says prime day beat black friday in sales numbers,neutral
AMZN,2015-07-31,amazon pushes to deliver more prime time,neutral
AMZN,2015-07-23,amazon reports unexpected profit and stock soars,positive
